date,home_team,away_team,home_score,away_score
2024-03-07,Sydney,Melbourne,86,64
2024-03-08,Brisbane,Carlton,85,86
2024-03-09,Gold Coast,Richmond,99,60
2024-03-09,GWS,Collingwood,114,82
2024-03-14,Carlton,Richmond,86,81
2024-03-15,Collingwood,Sydney,69,102
2024-03-16,Essendon,Hawthorn,107,83
2024-03-16,GWS,North Melbourne,121,82
2024-03-16,Gold Coast,Adelaide,60,54
2024-03-16,Geelong,St Kilda,76,68
2024-03-17,Melbourne,Western Bulldogs,109,64
2024-03-17,Port Adelaide,West Coast,120,70
2024-03-17,Fremantle,Brisbane,93,70
2024-03-21,St Kilda,Collingwood,94,79
2024-03-22,Adelaide,Geelong,77,96
2024-03-23,North Melbourne,Fremantle,76,102
2024-03-23,Hawthorn,Melbourne,38,93
2024-03-23,Sydney,Essendon,131,101
2024-03-24,Western Bulldogs,Gold Coast,115,67
2024-03-24,West Coast,GWS,43,108
2024-03-24,Richmond,Port Adelaide,92,122
2024-03-28,Brisbane,Collingwood,72,92
2024-03-29,North Melbourne,Carlton,81,137
2024-03-29,Fremantle,Adelaide,69,34
2024-03-30,Essendon,St Kilda,71,67
2024-03-30,Port Adelaide,Melbourne,89,96
2024-03-31,Western Bulldogs,West Coast,106,30
2024-03-31,Richmond,Sydney,82,77
2024-04-01,Hawthorn,Geelong,70,106
2024-04-04,Adelaide,Melbourne,63,78
2024-04-05,Brisbane,North Melbourne,112,42
2024-04-05,Port Adelaide,Essendon,111,42
2024-04-06,West Coast,Sydney,78,104
2024-04-06,Fremantle,Carlton,63,73
2024-04-06,Western Bulldogs,Geelong,91,95
2024-04-07,Gold Coast,GWS,89,117
2024-04-07,Richmond,St Kilda,60,67
2024-04-07,Collingwood,Hawthorn,77,72
2024-04-11,Melbourne,Brisbane,60,82
2024-04-12,Western Bulldogs,Essendon,67,96
2024-04-13,GWS,St Kilda,80,79
2024-04-13,Carlton,Adelaide,98,100
2024-04-13,Port Adelaide,Fremantle,66,63
2024-04-13,Gold Coast,Hawthorn,109,56
2024-04-14,Geelong,North Melbourne,139,64
2024-04-14,West Coast,Richmond,109,70
2024-04-18,St Kilda,Western Bulldogs,64,124
2024-04-19,Adelaide,Essendon,75,78
2024-04-20,Collingwood,Port Adelaide,123,81
2024-04-20,Carlton,GWS,117,98
2024-04-20,West Coast,Fremantle,105,68
2024-04-20,Brisbane,Geelong,37,63
2024-04-21,Sydney,Gold Coast,110,57
2024-04-21,North Melbourne,Hawthorn,68,113
2024-04-24,Richmond,Melbourne,42,85
2024-04-25,Essendon,Collingwood,85,85
2024-04-25,GWS,Brisbane,113,59
2024-04-26,Port Adelaide,St Kilda,82,72
2024-04-27,North Melbourne,Adelaide,81,138
2024-04-27,Geelong,Carlton,118,105
2024-04-27,Fremantle,Western Bulldogs,95,71
2024-04-28,Gold Coast,West Coast,112,75
2024-04-28,Hawthorn,Sydney,42,118
2024-05-02,Adelaide,Port Adelaide,78,48
2024-05-03,Carlton,Collingwood,79,85
2024-05-04,Sydney,GWS,98,69
2024-05-04,St Kilda,North Melbourne,103,65
2024-05-04,West Coast,Essendon,71,77
2024-05-04,Melbourne,Geelong,74,66
2024-05-05,Richmond,Fremantle,49,103
2024-05-05,Western Bulldogs,Hawthorn,91,98
2024-05-05,Brisbane,Gold Coast,79,45
2024-05-09,Carlton,Melbourne,77,76
2024-05-10,Fremantle,Sydney,39,87
2024-05-10,Geelong,Port Adelaide,95,101
2024-05-11,Hawthorn,St Kilda,58,53
2024-05-11,Essendon,GWS,82,62
2024-05-11,Gold Coast,North Melbourne,120,52
2024-05-11,Richmond,Western Bulldogs,42,133
2024-05-12,Collingwood,West Coast,103,37
2024-05-12,Adelaide,Brisbane,90,90
2024-05-16,Gold Coast,Geelong,164,100
2024-05-17,Sydney,Carlton,117,65
2024-05-18,Collingwood,Adelaide,78,74
2024-05-18,GWS,Western Bulldogs,43,70
2024-05-18,Brisbane,Richmond,163,44
2024-05-18,St Kilda,Fremantle,55,72
2024-05-19,Essendon,North Melbourne,106,66
2024-05-19,Port Adelaide,Hawthorn,80,79
2024-05-19,West Coast,Melbourne,105,70
2024-05-23,Western Bulldogs,Sydney,88,102
2024-05-24,Fremantle,Collingwood,75,75
2024-05-25,North Melbourne,Port Adelaide,48,107
2024-05-25,Carlton,Gold Coast,102,73
2024-05-25,Geelong,GWS,74,78
2024-05-25,Richmond,Essendon,74,86
2024-05-26,Hawthorn,Brisbane,100,75
2024-05-26,Melbourne,St Kilda,100,62
2024-05-26,Adelaide,West Coast,137,38
2024-05-30,Port Adelaide,Carlton,71,107
2024-05-31,Collingwood,Western Bulldogs,82,100
2024-06-01,Hawthorn,Adelaide,107,80
2024-06-01,West Coast,St Kilda,68,82
2024-06-01,Geelong,Richmond,99,69
2024-06-02,Melbourne,Fremantle,49,141
2024-06-02,Gold Coast,Essendon,91,80
2024-06-06,Adelaide,Richmond,71,79
2024-06-07,Western Bulldogs,Brisbane,71,114
2024-06-08,Hawthorn,GWS,85,79
2024-06-08,West Coast,North Melbourne,65,74
2024-06-08,St Kilda,Gold Coast,51,48
2024-06-09,Sydney,Geelong,112,82
2024-06-09,Essendon,Carlton,70,96
2024-06-10,Collingwood,Melbourne,89,51
2024-06-14,Brisbane,St Kilda,126,106
2024-06-15,Western Bulldogs,Fremantle,149,82
2024-06-15,Richmond,Hawthorn,49,97
2024-06-15,Adelaide,Sydney,67,109
2024-06-16,North Melbourne,Collingwood,118,119
2024-06-16,GWS,Port Adelaide,73,51
2024-06-21,Carlton,Geelong,138,75
2024-06-22,Port Adelaide,Brisbane,73,152
2024-06-22,GWS,Sydney,75,102
2024-06-22,Melbourne,North Melbourne,70,67
2024-06-23,Essendon,West Coast,122,92
2024-06-23,Fremantle,Gold Coast,85,65
2024-06-28,Brisbane,Melbourne,86,81
2024-06-29,Sydney,Fremantle,98,99
2024-06-29,North Melbourne,Western Bulldogs,60,77
2024-06-29,Gold Coast,Collingwood,101,90
2024-06-29,Adelaide,GWS,94,78
2024-06-29,Geelong,Essendon,105,60
2024-06-30,St Kilda,Port Adelaide,60,62
2024-06-30,West Coast,Hawthorn,33,94
2024-06-30,Richmond,Carlton,70,131
2024-07-05,Collingwood,Essendon,80,92
2024-07-06,Port Adelaide,Western Bulldogs,102,54
2024-07-06,North Melbourne,Gold Coast,87,83
2024-07-06,Geelong,Hawthorn,110,59
2024-07-06,Fremantle,Richmond,105,54
2024-07-06,GWS,Carlton,116,104
2024-07-07,Melbourne,West Coast,112,58
2024-07-07,St Kilda,Sydney,84,82
2024-07-07,Brisbane,Adelaide,97,86
2024-07-12,Collingwood,Geelong,71,91
2024-07-13,Hawthorn,Fremantle,87,74
2024-07-13,Sydney,North Melbourne,138,59
2024-07-13,Western Bulldogs,Carlton,100,86
2024-07-13,Adelaide,St Kilda,71,39
2024-07-13,Melbourne,Essendon,84,67
2024-07-14,Gold Coast,Port Adelaide,96,82
2024-07-14,West Coast,Brisbane,93,106
2024-07-14,Richmond,GWS,84,108
2024-07-19,Essendon,Adelaide,113,115
2024-07-20,St Kilda,West Coast,113,41
2024-07-20,GWS,Gold Coast,89,50
2024-07-20,Hawthorn,Collingwood,133,67
2024-07-20,Port Adelaide,Richmond,116,75
2024-07-20,Geelong,Western Bulldogs,48,95
2024-07-21,Brisbane,Sydney,79,77
2024-07-21,Fremantle,Melbourne,116,66
2024-07-21,Carlton,North Melbourne,107,88
2024-07-26,Carlton,Port Adelaide,65,79
2024-07-27,North Melbourne,Geelong,66,106
2024-07-27,St Kilda,Essendon,108,55
2024-07-27,Gold Coast,Brisbane,65,93
2024-07-27,Fremantle,West Coast,110,75
2024-07-27,Melbourne,GWS,83,85
2024-07-28,Collingwood,Richmond,93,67
2024-07-28,Sydney,Western Bulldogs,48,87
2024-07-28,Adelaide,Hawthorn,58,124
2024-08-02,West Coast,Gold Coast,97,87
2024-08-02,Western Bulldogs,Melbourne,110,59
2024-08-03,North Melbourne,Richmond,90,77
2024-08-03,Geelong,Adelaide,90,85
2024-08-03,Port Adelaide,Sydney,148,36
2024-08-03,Collingwood,Carlton,84,81
2024-08-04,GWS,Hawthorn,84,82
2024-08-04,Essendon,Fremantle,90,89
2024-08-04,St Kilda,Brisbane,39,124
2024-08-09,Sydney,Collingwood,89,86
2024-08-10,North Melbourne,West Coast,97,102
2024-08-10,Brisbane,GWS,64,82
2024-08-10,Fremantle,Geelong,62,73
2024-08-10,Melbourne,Port Adelaide,51,53
2024-08-10,Essendon,Gold Coast,86,87
2024-08-11,Carlton,Hawthorn,38,112
2024-08-11,Richmond,St Kilda,51,99
2024-08-11,Adelaide,Western Bulldogs,111,72
2024-08-16,Essendon,Sydney,59,98
2024-08-17,GWS,Fremantle,101,92
2024-08-17,Gold Coast,Melbourne,63,117
2024-08-17,Collingwood,Brisbane,79,78
2024-08-17,Port Adelaide,Adelaide,80,58
2024-08-17,St Kilda,Geelong,107,89
2024-08-18,Western Bulldogs,North Melbourne,138,42
2024-08-18,West Coast,Carlton,34,99
2024-08-18,Hawthorn,Richmond,131,68
2024-08-23,Melbourne,Collingwood,57,103
2024-08-24,Hawthorn,North Melbourne,170,46
2024-08-24,Geelong,West Coast,168,75
2024-08-24,Richmond,Gold Coast,66,94
2024-08-24,Brisbane,Essendon,87,67
2024-08-24,Sydney,Adelaide,121,90
2024-08-25,Western Bulldogs,GWS,98,61
2024-08-25,Carlton,St Kilda,74,76
2024-08-25,Fremantle,Port Adelaide,67,87
2024-09-05,Port Adelaide,Geelong,54,138
2024-09-06,Western Bulldogs,Hawthorn,62,99
2024-09-07,Sydney,GWS,88,82
2024-09-07,Brisbane,Carlton,99,71
2024-09-13,Port Adelaide,Hawthorn,75,72
2024-09-14,GWS,Brisbane,100,105
2024-09-20,Sydney,Port Adelaide,95,59
2024-09-21,Geelong,Brisbane,85,95
2024-09-28,Sydney,Brisbane,60,120
