date,home_team,away_team,home_score,away_score
2025-07-05,Geelong,Richmond,124,52
2025-07-05,Brisbane,Port Adelaide,120,92
2025-07-05,St Kilda,Hawthorn,74,94
2025-07-06,Sydney,Fremantle,94,83
2025-07-06,Adelaide,Melbourne,90,77
2025-07-10,Carlton,Brisbane,66,103
2025-07-11,Gold Coast,Collingwood,69,63
2025-07-12,Western Bulldogs,Adelaide,98,109
2025-07-12,GWS,Geelong,111,85
2025-07-12,Fremantle,Hawthorn,77,64
2025-07-12,Richmond,Essendon,46,37
2025-07-13,Melbourne,North Melbourne,119,83
2025-07-13,St Kilda,Sydney,87,92
2025-07-13,Port Adelaide,West Coast,87,61
2025-07-17,Essendon,GWS,56,104
2025-07-18,Brisbane,Western Bulldogs,86,76
2025-07-19,Hawthorn,Port Adelaide,87,49
2025-07-19,Sydney,North Melbourne,84,53
2025-07-19,West Coast,Richmond,56,105
2025-07-19,Carlton,Melbourne,78,70
2025-07-20,Geelong,St Kilda,113,82
2025-07-20,Collingwood,Fremantle,78,79
2025-07-20,Adelaide,Gold Coast,107,46
