date,home_team,away_team,home_score,away_score
2023-08-06,North Melbourne,Melbourne,71,103
2023-08-06,Fremantle,Brisbane,74,77
2023-08-06,St Kilda,Carlton,54,73
2023-08-11,Collingwood,Geelong,109,101
2023-08-12,Sydney,Gold Coast,114,90
2023-08-12,North Melbourne,Essendon,77,86
2023-08-12,Brisbane,Adelaide,99,93
2023-08-12,West Coast,Fremantle,33,134
2023-08-12,Carlton,Melbourne,60,56
2023-08-13,Hawthorn,Western Bulldogs,67,64
2023-08-13,St Kilda,Richmond,93,57
2023-08-13,Port Adelaide,GWS,136,85
2023-08-18,Collingwood,Brisbane,100,124
2023-08-19,Richmond,North Melbourne,101,72
2023-08-19,Gold Coast,Carlton,87,91
2023-08-19,GWS,Essendon,162,36
2023-08-19,Adelaide,Sydney,73,74
2023-08-19,St Kilda,Geelong,88,55
2023-08-20,Western Bulldogs,West Coast,85,92
2023-08-20,Fremantle,Port Adelaide,58,74
2023-08-20,Melbourne,Hawthorn,87,60
2023-08-25,Essendon,Collingwood,31,101
2023-08-26,North Melbourne,Gold Coast,132,97
2023-08-26,Hawthorn,Fremantle,56,93
2023-08-26,Brisbane,St Kilda,72,60
2023-08-26,West Coast,Adelaide,78,123
2023-08-26,Geelong,Western Bulldogs,79,104
2023-08-27,Port Adelaide,Richmond,94,63
2023-08-27,Sydney,Melbourne,56,77
2023-08-27,Carlton,GWS,73,105
2023-09-07,Collingwood,Melbourne,60,53
2023-09-08,Carlton,Sydney,74,68
2023-09-09,St Kilda,GWS,77,101
2023-09-09,Brisbane,Port Adelaide,123,75
2023-09-15,Melbourne,Carlton,71,73
2023-09-16,Port Adelaide,GWS,70,93
2023-09-22,Collingwood,GWS,58,57
2023-09-23,Brisbane,Carlton,79,63
2023-09-30,Collingwood,Brisbane,90,86
